text,label,notes
"bug: run_batched_evaluation mapper parameter's MapperFunction protocol mismatch\n\n### Describe the bug\n\nMapperFunction says it needs TraceWithFullDetails for trace level evaluations but the _fetch_batch_with_retry function in BatchEvaluationRunner uses self.client.api.trace.list, which returns TraceWithDetails. This requires us to pull in a client to get TraceWithFullDetails is our mapper needs more information than a TraceWithDetails item. While I have a workaround for this, the documentation was confusing. Is this intended behavior?\n\n### Steps to reproduce\n\nRun run_batched_evaluation and look at items fetched going into the supplied mapper function.\n\n### Langfuse Cloud or self-hosted?\n\nSelf-hosted\n\n### If self-hosted, what version are you running?\n\n3.150.0\n\n### SDK and integration versions\n\npython sdk v3.12\n\n### Additional information\n\n_No response_\n\n### Are you interested in contributing a fix for this bug?\n\nYes",bug_report,github bug label or bug: title
"bug(sdk-python): LangChain tool observations should use structured inputs when available\n\n### Describe the bug\n\nWhen using the Langfuse Python SDK `langfuse.langchain.CallbackHandler` with LangChain tools, tool observations record the positional `input_str` value from `on_tool_start` as the observation input.\n\nFor structured tools, LangChain also passes the original structured arguments in `kwargs[""inputs""]`. However, `CallbackHandler.on_tool_start` currently stores `input=input_str`, which is produced by LangChain as `str(dict)` for dict-shaped tool inputs.\n\nThis is fragile for tools with large or complex string arguments, for example a file-writing tool with a multiline `content` argument. In the Langfuse UI, simple tool inputs may still be parsed by the UI's fallback parsing, but complex inputs are shown as raw Python-dict strings instead of reliably formatted structured input.\n\nExpected behavior: tool observations should prefer the structured `inputs` payload when LangChain provides it, falling back to `input_str` only when `inputs` is unavailable.\n\n### Steps to reproduce\n\nMinimal example using generic tool names and local-only placeholder content:\n\n```python\nfrom langchain_core.callbacks import BaseCallbackHandler\nfrom langchain_core.tools import tool\nfrom langfuse.langchain import CallbackHandler\n\n@tool\ndef write_document(path: str, content: str) -> str:\n    """"""Write text content to a document.""""""\n    return ""ok""\n\nclass DebugHandler(BaseCallbackHandler):\n    def on_tool_start(self, serialized, input_str, *, inputs=None, **kwargs):\n        print(""input_str:"", input_str)\n        print(""inputs:"", inputs)\n\nwrite_document.invoke(\n    {\n        ""path"": ""/tmp/example.md"",\n        ""content"": ""# Title\n\nThis is a multiline document with 'quotes' and JSON-like text: {\""a\"": 1}"",\n    },\n    config={""callbacks"": [DebugHandler(), CallbackHandler()]},\n)\n```\n\nLangChain provides both values to callbacks:\n\n```python\ninput_str == ""{'path': '/tmp/example.md', 'content': '# Title\\n\\nThis is ...'}""\ninputs == {""path"": ""/tmp/example.md"", ""content"": ""# Title\n\nThis is ...""}\n```\n\nThe Langfuse callback currently uses the string form for the tool observation input. The relevant pattern is:\n\n```python\nspan = self._get_parent_observation(parent_run_id).start_observation(\n    name=self.get_langchain_run_name(serialized, **kwargs),\n    as_type=observation_type,\n    input=input_str,\n    metadata=meta,\n    ...\n)\n```\n\nA more robust behavior would be similar to:\n\n```python\nstructured_inputs = kwargs.get(""inputs"")\nspan = self._get_parent_observation(parent_run_id).start_observation(\n    name=self.get_langchain_run_name(serialized, **kwargs),\n    as_type=observation_type,\n    input=structured_inputs if structured_inputs is not None else input_str,\n    metadata=meta,\n    ...\n)\n```\n\n### Langfuse Cloud or self-hosted?\n\nSelf-hosted\n\n### If self-hosted, what version are you running?\n\nObserved on a recent Langfuse v4 deployment. I do not believe the behavior is deployment-specific; it follows from the Python SDK callback implementation.\n\n### SDK and integration versions\n\n- `langfuse` Python SDK: v4.x\n- `langchain-core`: v1.x\n- Integration: `langfuse.langchain.CallbackHandler`\n\n### Additional information\n\nThis is not about the tool execution itself. The tool receives the correct structured arguments. The issue is only the representation stored as the Langfuse tool observation input.\n\nThis mostly affects tools with complex string fields. Simple inputs like `{""path"": ""/tmp/file.txt""}` may appear formatted because the UI can sometimes parse Python dict strings heuristically, but multiline text fields with quotes or JSON-like content are not reliable.\n\nNo private trace links, project names, or customer data are needed to reproduce the issue.\n\n### Are you interested in contributing a fix for this bug?\n\nYes",bug_report,github bug label or bug: title
"Feat: Allow multi-modal in Playground\n\n# Originally Discussed In\n- [Support image messages in the playground #4268](https://github.com/orgs/langfuse/discussions/4268)\n- [Multi-modal input in playground #6017](https://github.com/orgs/langfuse/discussions/6017)\n\n# Motivation\nI'm working on a project where the prompts take multi-modal input. I'd like to easily compare multiple models side by side to see how they perform. Langfuse has the side by side feature, but not the multi-modal support, so rather than waiting for it, or building a custom implementation, I'll try and add it to Langfuse so we can all benefit.\n\n# Product Requirements Document (PRD): Playground Image Upload (Vision Support)\n\n## 1. Executive Summary\n- **Goal:** Enable users to include images in their Playground prompts to test Vision capabilities of LLMs.\n- **Target Audience:** Developers building multimodal applications.\n- **Value Proposition:** Allows testing and iterating on prompts that involve image inputs directly within Langfuse.\n\n## 2. Background & Problem Statement\nCurrently, the Playground only supports text-based prompts. With the rise of Vision-capable models (GPT-4o, Claude 3.5 Sonnet, etc.), users need a way to test these capabilities without leaving the platform.\nThis feature has been requested in multiple community discussions:\n- [Support image messages in the playground #4268](https://github.com/orgs/langfuse/discussions/4268)\n- [Multi-modal input in playground #6017](https://github.com/orgs/langfuse/discussions/6017)\n\n## 3. User Stories\n- As a user, I want to upload an image file (PNG, JPG, WEBP, GIF) to a user or system message in the Playground.\n- As a user, I want to be able to **drag and drop** images directly into the message input.\n- As a user, I want to be able to **paste image URLs** or raw image data.\n- As a user, I want the image to be sent to the LLM along with my text prompt.\n- As a user, I want to see a preview of the uploaded image in the message bubble.\n- As a user, when I click ""Open in Playground"" from a trace with images, I want those images to be populated in the playground.\n\n## 4. Functional Requirements\n- [ ] **Image Upload UI:** A button (e.g., plus icon) in the message input area to select an image file.\n- [ ] **Drag & Drop Support:** Ability to drop image files onto the message input.\n- [ ] **Image Preview:** Display a thumbnail/preview of the uploaded image within the message component.\n- [ ] **Multi-modal State Management:** \n    - Support `content` as `string | Array<ContentPart>`.\n    - Automatically convert `string` to `Array<ContentPart>` when an image is added.\n- [ ] **Base64 Support:** For the MVP, convert local files to Base64 data URLs.\n- [ ] **URL Support:** Handle direct image URLs.\n- [ ] **Trace Integration:** Ensure `convertChatMlToPlayground` supports incoming multi-modal messages.\n\n## 5. Security & Risk Analysis\n\n- **Payload Size:**\n    - **Risk:** Base64 encoding adds ~33% overhead. Large images can hit Vercel's function body size limits (e.g., 4.5MB).\n    - **Mitigation:**\n        - Enforce a client-side file size limit (e.g., 5MB max).\n        - Display a warning if the user attempts to upload larger files.\n        - Graceful error handling in the UI if the API returns 413.\n\n- **Malicious Inputs:**\n    - **Risk:** Users uploading non-image files masquerading as images.\n    - **Mitigation:**\n        - Strict MIME type checking in `ImageUploadButton` (`image/png`, `image/jpeg`, `image/webp`, `image/gif`).\n        - Basic validation of the Base64 header.\n\n- **Database Bloat:**\n    - **Risk:** `PlaygroundCache` uses `sessionStorage`.\n    - **Mitigation:**\n        - Browser `sessionStorage` has limits (usually ~5-10MB). Storing multiple high-res Base64 images will exceed this quickly.\n        - We should catch `QuotaExceededError` when saving to cache and warn the user, or potentially not cache large image data (though this degrades UX on refresh). For MVP, catching the error is sufficient.\n\n- **Data Privacy:**\n    - **Risk:** PII in images.\n    - **Mitigation:** Standard disclaimer that data is sent to LLM providers.\n\n## 6. Roadmap & Future Scope\nThe current implementation focuses on images as a foundational step toward full multi-modal support in the Langfuse Playground. Future iterations will include:\n- **PDF Support:** Ability to upload and analyze multi-page documents.\n- **Audio Support:** Support for `.mp3`, `.wav`, etc., including transcription and audio-to-audio tests.\n- **Video Support:** Support for video file analysis for capable models.\n- **Persistent Storage:** Moving from Base64 to blob storage (S3/GCS) for larger files and shared playground states.",feature_request,feature request title pattern
"Feature: integrate OWASP ASI06 memory poisoning detection into Langfuse tracing\n\n## Summary\n\nLangfuse is the leading observability platform for LLM applications. As agentic AI deployments grow, **memory poisoning** (OWASP ASI06) is becoming a critical security event that should be observable, traceable, and alertable — exactly what Langfuse is built for.\n\n## The Gap\n\nCurrently, Langfuse traces LLM inputs/outputs but doesn't have native detection for **memory poisoning attempts** — where malicious content is injected into an agent's persistent memory to manipulate future behavior.\n\n## Proposed Integration\n\n[OWASP Agent Memory Guard](https://github.com/OWASP/www-project-agent-memory-guard) provides ASI06 detection. Integrating it with Langfuse would enable:\n\n```python\nfrom langfuse import Langfuse\nfrom agent_memory_guard import MemoryGuard\n\nlangfuse = Langfuse()\nguard = MemoryGuard()\n\nwith langfuse.trace(name=""agent_memory_write"") as trace:\n    result = guard.scan(memory_content)\n    \n    # Log security event to Langfuse\n    trace.score(\n        name=""memory_safety"",\n        value=1.0 if result.is_safe else 0.0,\n        comment=f""threat_type={result.threat_type}"" if not result.is_safe else ""clean""\n    )\n    \n    if result.is_safe:\n        store_memory(memory_content)\n    else:\n        trace.event(name=""memory_poisoning_blocked"", metadata={""threat"": result.threat_type})\n```\n\nThis would give Langfuse users:\n- **Security dashboards** showing memory poisoning attempt rates\n- **Alerts** when poisoning attempts spike\n- **Audit trails** for compliance (SOC2, GDPR)\n- **Forensic traces** for incident response\n\n## Request\n\n1. Consider adding **memory security scoring** as a built-in Langfuse evaluation type\n2. Document OWASP Agent Memory Guard as a recommended integration for security-conscious Langfuse users\n3. Add a **security events** category to Langfuse traces for ASI06/memory poisoning events\n\n**PyPI:** `pip install agent-memory-guard`\n**OWASP Project:** https://github.com/OWASP/www-project-agent-memory-guard",feature_request,github feature label or [eature Request]
"bug: Iterators not handled by observe decorator (python-sdk)\n\n### Describe the bug\n\n@observe() decorator mishandles non-generator iterators, causing incorrect output capture and potential event loop blocking\nThe @observe() decorator currently handles generators by wrapping them with _wrap_sync_generator_result or _wrap_async_generator_result and then calls langfuse_span_or_generation.update(output=result) with the wrapped result.\nProblem:\nIterators that are not generators (e.g., custom iterator classes, itertools objects) are not detected by the generator check, so they:\n\nSkip the wrapping logic: Non-generator iterators bypass _wrap_sync_generator_result/_wrap_async_generator_result entirely\nGet passed directly to update(output=...): The raw iterator object is captured as output instead of being properly wrapped\nCause event loop blocking: When update() attempts to serialize the iterator, large objects stored in context_vars by _ContextPreservedAsyncGeneratorWrapper/_ContextPreservedSyncGeneratorWrapper may be decoded/serialized synchronously, blocking the asyncio event loop or interpreter\n\nExpected behavior:\nThe decorator should detect all iterator types (not just generators) and wrap them appropriately before calling update(output=...).\n\n### Steps to reproduce\n\nsdk-version above: v3.5.2\n1. Have large objects in context_vars (for example datadog sdk).\n2. use observe dec on a function that returns a iterator/async iterator (not generator)\n3. see https://github.com/langfuse/langfuse-python/blob/96b2bf8b21fe96ee40c301809842b12341febaf7/langfuse/_client/observe.py#L447 called on output=result and result being _ContextPreservedAsyncGeneratorWrapper/_ContextPreservedSyncGeneratorWrapper so resulting in bad output and potentially decoding large objects saved in context_vars\n\n### Langfuse Cloud or self-hosted?\n\nSelf-hosted\n\n### If self-hosted, what version are you running?\n\nv3.135.1\n\n### SDK and integration versions\n\npythonsdk - v3.10.1 (above v.3.5.2)\n\n### Additional information\n\n_No response_\n\n### Are you interested in contributing a fix for this bug?\n\nYes",bug_report,github bug label or bug: title
"bug(sdk-python): LangchainCallbackHandler root span lost in async + trace_name not propagated\n\n### Describe the bug\n\nTwo bugs in `LangchainCallbackHandler` (langfuse 4.0.0):\n\n**Bug 1: Root traces invisible in async frameworks (FastAPI + LangGraph)**\n\nWhen using `LangchainCallbackHandler` with FastAPI + LangGraph (`astream`/`ainvoke`), root-level traces are never visible in Langfuse during or after requests. They only appear when the process exits (atexit flush). Child spans (LLM calls, tool calls) export normally — only the root span is affected.\n\nRoot cause: `LangchainCallbackHandler` is a sync handler. LangChain's `_ahandle_event_for_handler` (langchain_core/callbacks/manager.py line 381-386) dispatches sync handlers via:\n\n```python\nawait asyncio.get_event_loop().run_in_executor(\n    None,\n    functools.partial(copy_context().run, event, *args, **kwargs),\n)\n```\n\nThis means `on_chain_end` runs inside `copy_context().run()` on a thread pool. When `on_chain_end` calls `_propagation_context_manager.__exit__()` (CallbackHandler.py line 571), this triggers `otel_context_api.detach(token)` (propagation.py line 275), which calls `ContextVar.reset(token)` (contextvars_context.py line 53). Since the token was created in the original context but reset is called inside a **copied** context, Python raises `ValueError: was created in a different Context`.\n\nOTEL's top-level `detach()` (context/__init__.py line 154-157) catches this and logs it, so `__exit__` itself doesn't raise. But the OTEL context is left in a corrupted state — the propagation context is never properly detached. We believe this corrupted state causes `span.end()` (line 573) to either fail to export the span correctly or associate it with the wrong trace, though we haven't been able to isolate the exact export-level failure.\n\nNotably, you already handle this exact async context problem correctly in `_detach_observation` (CallbackHandler.py line 458-472):\n\n```python\ndef _detach_observation(self, run_id):\n    token = self._context_tokens.pop(run_id, None)\n    if token:\n        try:\n            _RUNTIME_CONTEXT.detach(token)\n        except Exception:\n            # Context detach can fail in async scenarios - this is expected\n            pass\n```\n\nThe same defensive pattern is not applied to `_propagation_context_manager.__exit__()` in `on_chain_end`.\n\n**Bug 2: `trace_name` not propagated from metadata**\n\nSetting `langfuse_trace_name` in `RunnableConfig.metadata` has no effect — all traces appear unnamed. `_parse_langfuse_trace_attributes` (line 269-304) extracts `langfuse_session_id`, `langfuse_user_id`, and `langfuse_tags` but has no handling for `langfuse_trace_name`. The `propagate_attributes()` call on line 341-346 also omits `trace_name=` even though the function signature supports it (propagation.py line 82) and the full propagation pipeline (`_propagate_attributes`, `_set_propagated_attribute`) already handles it.\n\n**Expected behavior:**\n1. Root spans should be visible in Langfuse after each async invocation, not only on process exit\n2. `langfuse_trace_name` in metadata should set the trace name, consistent with how `langfuse_session_id` works\n\n### Steps to reproduce\n\n**Bug 1 — Root span lost:**\n\n```python\nfrom fastapi import FastAPI\nfrom langfuse.langchain import LangchainCallbackHandler\n\napp = FastAPI()\nhandler = LangchainCallbackHandler()\n\n@app.post(""/chat"")\nasync def chat():\n    config = {\n        ""callbacks"": [handler],\n        ""metadata"": {\n            ""langfuse_session_id"": ""test-session"",\n            ""langfuse_trace_name"": ""test-trace"",\n        },\n    }\n    # Any LangGraph agent with tool calls\n    result = await agent.ainvoke(\n        {""messages"": [HumanMessage(content=""hello"")]}, config=config\n    )\n    return result\n```\n\n1. Run the FastAPI server, send a request\n2. Check Langfuse dashboard — child spans (LLM, tool) appear, but no root trace\n3. Stop the server (Ctrl+C) — root traces suddenly appear (atexit flush)\n\nTo confirm the context corruption, enable OTEL debug logging — you'll see:\n```\nERROR:opentelemetry.context:Failed to detach context\nValueError: <Token ...> was created in a different Context\n```\n\n**Bug 2 — trace_name ignored:**\n\nUse the same code above. `langfuse_session_id` works (trace is in the correct session), but `langfuse_trace_name` is ignored (trace shows as unnamed).\n\n**Context corruption path (Bug 1):**\n\n```\nLangChain _ahandle_event_for_handler:\n  handler is sync → run_in_executor(copy_context().run, on_chain_end, ...)\n    │\n    ▼  (now inside copied context, on thread pool)\non_chain_end:\n  _propagation_context_manager.__exit__(None, None, None)  # line 571\n    → generator finally block                               # propagation.py:274\n      → otel_context_api.detach(token)                     # propagation.py:275\n        → _RUNTIME_CONTEXT.detach(token)                   # contextvars_context.py:53\n          → ContextVar.reset(token)                        # token from original context\n            → ValueError: created in a different Context   # Python contextvars\n        → caught by otel detach() try/except               # context/__init__.py:154-157\n        → ERROR logged, no exception raised\n  → __exit__ returns successfully\n  → but OTEL context is now corrupted (never properly detached)\n  span.end()                                                # line 573\n  → runs, but in corrupted context state → root span not properly exported\n```\n\n### Langfuse Cloud or self-hosted?\n\nSelf-hosted\n\n### If self-hosted, what version are you running?\n\nLangfuse self-hosted (latest). Both bugs are in the Python SDK (langfuse 4.0.0), not the server.\n\n### SDK and integration versions\n\n```\nlangfuse==4.0.0\nlangchain==1.2.15\nlangchain-core==1.2.27\nlangchain-openai==1.1.11\nlanggraph==1.1.6\nPython 3.13\nFastAPI 0.115+\n```\n\n### Additional information\n\n**Suggested fix for Bug 1:**\n\nApply the same defensive pattern already used in `_detach_observation` — isolate `__exit__` so context corruption can't affect `span.end()`:\n\n```python\n# on_chain_end — wrap __exit__ defensively\nif parent_run_id is None and self._propagation_context_manager is not None:\n    try:\n        self._propagation_context_manager.__exit__(None, None, None)\n    except Exception:\n        pass  # context detach can fail in async — same as _detach_observation\n    finally:\n        self._propagation_context_manager = None\n\nspan.end()  # always runs in clean state\n```\n\nSetting `_propagation_context_manager = None` after the attempt ensures it's not retried and prevents any downstream code from relying on the corrupted context state.\n\n**Suggested fix for Bug 2:**\n\nTwo additions:\n\n```python\n# 1. In _parse_langfuse_trace_attributes, add trace_name extraction:\nif ""langfuse_trace_name"" in metadata and isinstance(\n    metadata[""langfuse_trace_name""], str\n):\n    attributes[""trace_name""] = metadata[""langfuse_trace_name""]\n\n# 2. In on_chain_start, pass it to propagate_attributes:\nself._propagation_context_manager = propagate_attributes(\n    user_id=parsed_trace_attributes.get(""user_id"", None),\n    session_id=parsed_trace_attributes.get(""session_id"", None),\n    tags=parsed_trace_attributes.get(""tags"", None),\n    metadata=parsed_trace_attributes.get(""metadata"", None),\n    trace_name=parsed_trace_attributes.get(""trace_name"", None),  # ← add\n)\n```\n\n**Our production workaround (running for several weeks):**\n\nWe subclass `LangchainCallbackHandler` with overrides for both bugs:\n\n```python\nclass ExtendedLangfuseCallback(LangchainCallbackHandler):\n\n    def on_chain_start(self, serialized, inputs, *, run_id, parent_run_id=None, **kwargs):\n        result = super().on_chain_start(\n            serialized, inputs, run_id=run_id, parent_run_id=parent_run_id, **kwargs\n        )\n        # Bug 2 workaround: set trace_name directly on the root OTEL span\n        if parent_run_id is None and run_id in self._runs:\n            root = self._runs[run_id]\n            trace_name = (kwargs.get(""metadata"") or {}).get(""langfuse_trace_name"")\n            if trace",bug_report,github bug label or bug: title
"Improve error logging for wrong keys set in JS SDK\n\n### Describe the feature or potential improvement\n\nI made a mistake pasting my env vars and spent an hour trying to understand why my traces were not being ingested by Langfuse, until I realized it was wrong env vars. \n\nWould love for a warning to appear in case trace flushing fails. \n\n### Additional information\n\n_No response_\n\n_Originally posted by @aabedraba in https://github.com/langfuse/langfuse/discussions/9260_",feature_request,feature template in body
"bug: Data retention (TTL) deletes traces referenced by annotation queue items, leaving orphaned items\n\n### Describe the bug\n\nTraces that are referenced by annotation queue items are deleted by the data retention (TTL) mechanism without any check, leaving orphaned `AnnotationQueueItem` records in PostgreSQL that point to non-existent traces in ClickHouse.\n\nWhen a user opens one of these orphaned annotation queue items in the UI, they see:\n\n> **Trace not found** — Path: `traces.byIdWithObservationsAndScores`\n\n### Root cause\n\nThe TTL deletion logic in `handleDataRetentionProcessingJob.ts` and `BatchDataRetentionCleaner` deletes traces purely by age (`timestamp < cutoffDate`)<br>  without checking whether any `AnnotationQueueItem` references them via `objectId`.\n\nSince `AnnotationQueueItem.objectId` is a plain string with no foreign key to ClickHouse traces, there is no referential integrity — the deletion proceeds<br>  silently and the queue items become orphaned.\n\n### Impact\n\n* Annotation queue items marked as PENDING can never be completed since their underlying data is gone\n* Completed annotation queue items lose their trace context, making reviews un-auditable\n* No warning is shown to users when setting retention on projects with active annotation queues\n* No cleanup mechanism exists to remove orphaned items\n\n### Suggested solutions\n\n1. **Exclude referenced traces from TTL deletion** — Before deleting traces by age, check if any `AnnotationQueueItem` references them and skip those\n2. **Cascade cleanup** — When traces are deleted by TTL, also delete (or mark as expired) the corresponding `AnnotationQueueItem` records\n3. **UI/UX improvement** — Show a clear ""This trace was deleted by data retention"" message instead of a generic ""Trace not found"" error\n4. **Warn on retention config** — When a user sets data retention on a project with active annotation queues, warn them that queued items may be affected\n\n### Related\n\n* [LFE-7609](https://linear.app/langfuse/issue/LFE-7609/annotation-queue-api-accepts-invalid-objectid-causes-ui-error-when) — Similar UI error when annotation queue API accepts invalid `objectId` at creation time (different root cause, same symptom)\n\n### Steps to reproduce\n\n### Steps to reproduce\n\n1. Create an annotation queue and add traces to it\n2. Set the project's data retention to N days\n3. Wait N days (or set a short retention for testing)\n4. Open the annotation queue in the UI\n5. Items that referenced expired traces show ""Trace not found""\n\n### Langfuse Cloud or self-hosted?\n\nSelf-hosted\n\n### If self-hosted, what version are you running?\n\nv3.150.0\n\n### SDK and integration versions\n\n*No response*\n\n### Additional information\n\n*No response*\n\n### Are you interested in contributing a fix for this bug?\n\nYes",bug_report,github bug label or bug: title
"MCP Server: Support SSO/OIDC authentication as alternative to static API keys\n\n## Feature Request\n\n### Problem\n\nThe current MCP server implementation only supports HTTP Basic Authentication with static project-scoped API key pairs (`pk-lf-xxx` / `sk-lf-xxx`). For self-hosted enterprise deployments, this poses challenges:\n\n- **No SSO integration** — Teams cannot leverage their existing Identity Provider (IdP) for MCP client authentication\n- **Static token management burden** — API keys must be manually distributed, rotated, and revoked\n- **Limited auditability** — Requests are tied to API keys, not individual user identities\n- **Security risk** — Long-lived static tokens are a common target in credential theft scenarios\n\n### Proposed Solution\n\nAdd support for **OIDC/OAuth2-based authentication** for the MCP server endpoints, alongside the existing BasicAuth mechanism. This would allow self-hosted users to:\n\n1. Authenticate MCP clients via their existing IdP (Okta, Azure AD, Keycloak, etc.)\n2. Map authenticated user identities to Langfuse project access\n3. Eliminate static token distribution to end users\n4. Get per-user audit trails for MCP operations\n\n### Suggested Approach\n\nThe MCP server architecture (`mcpServer.ts`, `transport.ts`, `core/validation.ts`) is already modular with a clear separation between authentication and server logic via `ServerContext`. A possible implementation:\n\n- Add an OIDC token validation path in the auth layer (alongside existing BasicAuth)\n- Validate JWT bearer tokens against a configured OIDC issuer\n- Map OIDC claims (e.g., groups/roles) to Langfuse project permissions\n- Configuration via environment variables (`MCP_AUTH_OIDC_ISSUER`, `MCP_AUTH_OIDC_AUDIENCE`, etc.)\n\n### Current Workaround\n\nDeploying a reverse proxy (OAuth2 Proxy, Pomerium) in front of the MCP endpoint that handles SSO and injects BasicAuth headers. This works but adds operational complexity and doesn't provide per-user identity within Langfuse.\n\n### Environment\n\n- Self-hosted deployment\n- Applies to the Streamable HTTP MCP transport at `/api/mcp`",feature_request,github feature label or [eature Request]
Allow passing extra headers with Anthropic adapter\n\n### Describe the feature or potential improvement\n\nAdding an LLM connection with Anthropic adapter does not allow passing headers unlike the OpenAI adapters. We would like to use the headers to send auth tokens for internal connections.\n\nRef - https://github.com/langfuse/langfuse/blob/adb12697f141c0c1bf669e8cdea28cdc52b876d2/packages/shared/src/server/llm/fetchLLMCompletion.ts#L243\n\n### Additional information\n\n_No response_\n\n_Originally posted by @nairan-deshaw in https://github.com/langfuse/langfuse/discussions/11962_,feature_request,feature template in body
